"",,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
SULLIVAN,0.0,0.0,0.0,0.0,18.7,2.7,2.7,6.7
TIOGA,0.0,0.0,2.1,0.0,10.3,0.0,8.2,10.3
TOMPKINS,0.0,0.0,1.0,0.0,7.6,1.0,2.9,6.7
ULSTER,0.0,0.0,1.7,0.0,7.3,0.0,4.5,11.2
WARREN,0.0,0.0,0.0,0.0,12.4,0.0,4.6,7.7
WASHINGTON,0.0,1.6,0.0,0.0,6.5,0.0,4.9,14.6
WAYNE,0.0,0.0,0.0,0.0,19.8,3.3,3.3,11.0
WESTCHESTER,0.0,0.0,0.1,0.0,12.5,3.1,3.6,10.1
WYOMING,0.0,0.0,0.0,0.0,14.7,0.0,0.0,7.4
YATES,0.0,0.0,0.0,0.0,28.1,0.0,12.0,12.0
"",,,,,TOXIC,,,
"",STREP PNEUMO,SYPHILIS,SYPHILIS,,SHOCK,,,
"",INVASIVE,EARLY,LATE,TETANUS,SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS
ALBANY,6.8,27.5,11.7,0.0,1.0,2.6,0.3,0.3
ALLEGANY,14.9,2.1,2.1,0.0,0.0,0.0,0.0,0.0
BROOME,11.3,2.0,4.6,0.0,0.0,1.0,0.0,0.0
CATTARAUGUS,9.0,0.0,2.6,0.0,0.0,1.3,0.0,0.0
CAYUGA,10.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0
CHAUTAUQUA,7.7,1.5,3.1,0.0,0.0,0.8,0.0,0.0
CHEMUNG,15.1,11.6,2.3,0.0,0.0,0.0,0.0,0.0
CHENANGO,12.4,2.1,4.1,0.0,0.0,0.0,0.0,0.0
CLINTON,14.8,11.1,0.0,0.0,1.2,0.0,0.0,0.0
COLUMBIA,4.9,16.4,4.9,0.0,0.0,4.9,0.0,0.0
CORTLAND,14.6,12.5,2.1,0.0,0.0,0.0,0.0,0.0
DELAWARE,6.6,2.2,0.0,0.0,0.0,0.0,0.0,2.2
DUTCHESS,6.1,20.7,7.1,0.0,0.0,1.4,0.0,0.7
ERIE,7.8,9.0,8.0,0.0,0.0,0.5,0.7,0.2
ESSEX,10.5,0.0,2.6,0.0,0.0,0.0,0.0,0.0
FRANKLIN,15.9,2.0,4.0,0.0,0.0,0.0,0.0,2.0
FULTON,9.3,3.7,0.0,0.0,0.0,1.9,0.0,0.0
GENESEE,10.3,6.8,5.1,0.0,1.7,1.7,0.0,0.0
GREENE,8.4,4.2,4.2,0.0,0.0,0.0,0.0,0.0
HAMILTON,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,3.2,1.6,1.6,0.0,0.0,0.0,0.0,0.0
JEFFERSON,10.5,4.4,1.8,0.0,0.0,0.9,0.0,1.8
LEWIS,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIVINGSTON,7.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0
MADISON,8.4,7.0,0.0,0.0,0.0,0.0,0.0,1.4
MONROE,8.6,13.4,9.6,0.0,0.7,1.9,0.0,0.3
MONTGOMERY,8.1,6.1,0.0,0.0,4.1,0.0,0.0,2.0
NASSAU,8.0,12.3,5.9,0.0,0.0,2.9,0.5,0.9
NIAGARA,9.9,3.8,4.7,0.0,0.0,0.5,0.0,0.0
ONEIDA,9.9,2.2,5.2,0.0,0.0,3.9,0.0,0.9
ONONDAGA,8.8,8.6,0.9,0.0,0.0,1.3,0.2,0.9
ONTARIO,10.9,1.8,3.6,0.0,0.0,0.0,0.0,0.0
ORANGE,10.3,13.4,4.5,0.0,0.0,2.4,0.0,0.0
ORLEANS,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSWEGO,7.6,1.7,1.7,0.0,0.0,0.0,0.0,0.0
OTSEGO,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
PUTNAM,8.1,10.1,4.0,0.0,0.0,1.0,0.0,2.0
RENSSELAER,10.6,14.4,9.4,0.0,1.2,0.6,0.0,1.2
ROCKLAND,8.3,9.5,9.2,0.0,0.0,4.3,0.0,0.0
ST. LAWRENCE,17.3,3.6,0.9,0.0,0.0,0.9,0.0,0.0
SARATOGA,7.0,5.3,2.6,0.0,0.0,0.0,0.4,0.4
SCHENECTADY,10.4,14.2,18.1,0.0,1.9,0.0,0.0,0.6
SCHOHARIE,0.0,3.2,0.0,0.0,0.0,0.0,0.0,3.2
SCHUYLER,5.5,16.6,0.0,0.0,0.0,0.0,0.0,0.0
SENECA,8.6,8.6,8.6,0.0,0.0,0.0,0.0,0.0
STEUBEN,11.3,3.1,1.0,1.0,0.0,0.0,0.0,0.0
SUFFOLK,6.7,10.1,8.4,0.0,0.0,2.3,0.0,0.6
SULLIVAN,2.7,12.0,4.0,0.0,0.0,2.7,0.0,0.0
TIOGA,10.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0
TOMPKINS,6.7,10.5,3.8,0.0,0.0,1.9,0.0,0.0
ULSTER,10.6,8.9,8.4,0.0,0.0,0.0,0.6,0.6
WARREN,15.5,6.2,1.5,0.0,0.0,0.0,0.0,3.1
WASHINGTON,8.1,0.0,3.2,0.0,0.0,0.0,0.0,0.0
WAYNE,13.2,3.3,4.4,0.0,2.2,0.0,0.0,0.0
WESTCHESTER,6.1,14.6,14.0,0.0,0.1,3.2,0.4,0.7
WYOMING,4.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0
YATES,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,WEST NILE,,
"",VISA,WEST NILE FEVER,VIRUS,YERSINIOSIS,ZIKA VIRUS
ALBANY,0.0,0.0,0.0,0.6,0.0
ALLEGANY,0.0,0.0,0.0,0.0,0.0
BROOME,0.0,0.0,0.0,0.5,0.5
CATTARAUGUS,0.0,0.0,0.0,0.0,0.0
CAYUGA,0.0,0.0,0.0,0.0,0.0
CHAUTAUQUA,0.0,0.0,0.0,0.0,0.0
CHEMUNG,0.0,0.0,0.0,0.0,0.0
CHENANGO,0.0,0.0,0.0,0.0,0.0
CLINTON,0.0,0.0,0.0,1.2,0.0
COLUMBIA,0.0,0.0,0.0,1.6,0.0
CORTLAND,0.0,0.0,0.0,2.1,0.0
DELAWARE,0.0,0.0,0.0,0.0,0.0
DUTCHESS,0.0,0.0,0.3,0.3,1.4
ERIE,0.0,0.1,0.0,0.5,0.2
ESSEX,0.0,0.0,0.0,0.0,0.0
FRANKLIN,0.0,0.0,0.0,2.0,0.0
FULTON,0.0,0.0,0.0,0.0,0.0
GENESEE,0.0,0.0,0.0,0.0,1.7
GREENE,0.0,0.0,0.0,0.0,0.0
HAMILTON,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,0.0,0.0,0.0
JEFFERSON,0.0,0.0,0.0,1.8,0.0
LEWIS,0.0,0.0,0.0,0.0,0.0
LIVINGSTON,0.0,0.0,0.0,0.0,0.0
MADISON,0.0,0.0,0.0,0.0,0.0
MONROE,0.0,0.0,0.4,0.5,0.1
MONTGOMERY,0.0,0.0,0.0,0.0,0.0
NASSAU,0.1,0.1,0.5,0.8,0.8
NIAGARA,0.0,0.0,0.0,0.5,0.0
ONEIDA,0.0,0.0,0.0,0.0,0.0
ONONDAGA,0.0,0.0,0.4,0.6,0.0
ONTARIO,0.0,0.0,0.0,0.9,0.0
ORANGE,0.3,0.0,0.0,0.5,0.5
ORLEANS,0.0,0.0,0.0,0.0,0.0
OSWEGO,0.0,0.0,0.8,0.8,0.8
OTSEGO,0.0,0.0,0.0,0.0,0.0
PUTNAM,0.0,0.0,0.0,2.0,0.0
RENSSELAER,0.0,0.0,0.0,0.0,0.0
ROCKLAND,0.0,0.0,0.0,0.6,1.2
ST. LAWRENCE,0.0,1.8,0.9,0.0,0.0
SARATOGA,0.0,0.0,0.0,0.4,0.0
SCHENECTADY,0.0,0.0,0.0,0.6,0.0
SCHOHARIE,0.0,0.0,0.0,0.0,0.0
SCHUYLER,0.0,0.0,0.0,0.0,0.0
SENECA,0.0,0.0,0.0,0.0,2.9
STEUBEN,0.0,0.0,0.0,0.0,0.0
SUFFOLK,0.1,0.0,0.4,0.6,0.9
SULLIVAN,0.0,0.0,0.0,0.0,1.3
TIOGA,0.0,0.0,0.0,0.0,0.0
TOMPKINS,0.0,0.0,0.0,0.0,2.9
ULSTER,0.0,0.0,0.0,0.0,0.6
WARREN,0.0,0.0,0.0,1.5,0.0
WASHINGTON,0.0,0.0,0.0,1.6,0.0
WAYNE,0.0,0.0,0.0,0.0,0.0
WESTCHESTER,0.0,0.0,0.3,1.1,1.0
WYOMING,0.0,0.0,2.5,0.0,0.0
YATES,0.0,0.0,0.0,0.0,0.0
