"",,,ANAPLAS-,"ARBO, OTHER",,,,CAMPYLO-,
SULLIVAN,0.0,13.4,1.3,4.0,6.7,8.0,9.3
TIOGA,0.0,40.4,2.0,8.1,18.2,12.1,0.0
TOMPKINS,1.9,17.2,6.7,2.9,8.6,8.6,11.4
ULSTER,0.0,11.7,0.6,3.9,10.5,5.6,5.0
WARREN,0.0,7.7,0.0,0.0,10.8,9.3,4.6
WASHINGTON,0.0,16.1,0.0,3.2,8.0,17.7,0.0
WAYNE,0.0,12.0,0.0,3.3,14.2,5.5,4.4
WESTCHESTER,0.1,12.6,2.6,2.4,10.0,6.9,11.6
WYOMING,0.0,9.8,2.4,0.0,12.2,21.9,0.0
YATES,0.0,8.0,0.0,12.0,16.0,4.0,4.0
"",,,TOXIC,,,,,
"",SYPHILIS,,SHOCK,,,,,
"",LATE,TETANUS,SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,WEST NILE FEVER
ALBANY,3.6,0.0,0.3,0.6,0.0,0.3,0.0,0.0
ALLEGANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROOME,3.6,0.0,0.0,1.5,0.0,0.0,0.0,0.0
CATTARAUGUS,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0
CAYUGA,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
CHAUTAUQUA,2.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0
CHEMUNG,3.4,0.0,0.0,2.3,0.0,0.0,0.0,0.0
CHENANGO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLINTON,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLUMBIA,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORTLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELAWARE,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
DUTCHESS,4.1,0.0,0.0,0.3,0.3,0.0,0.0,0.0
ERIE,5.1,0.0,0.0,1.4,0.1,0.2,0.2,0.0
ESSEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANKLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENESEE,0.0,0.0,0.0,3.4,1.7,0.0,0.0,0.0
GREENE,2.1,0.0,4.2,2.1,0.0,2.1,0.0,0.0
HAMILTON,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0
HERKIMER,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEWIS,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0
LIVINGSTON,3.1,0.0,0.0,1.5,0.0,0.0,0.0,0.0
MADISON,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONROE,11.2,0.0,0.1,3.2,0.1,0.8,0.0,0.0
MONTGOMERY,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
NASSAU,5.1,0.0,0.0,2.8,0.2,0.4,0.0,0.1
NIAGARA,3.3,0.0,0.0,0.9,0.0,0.0,0.0,0.0
ONEIDA,3.9,0.0,0.0,3.4,0.0,0.0,0.0,0.0
ONONDAGA,1.5,0.0,0.0,3.6,0.0,0.2,0.4,0.0
ONTARIO,1.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0
ORANGE,2.6,0.0,0.0,1.9,0.0,0.3,0.0,0.0
ORLEANS,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSWEGO,0.8,0.0,0.0,0.8,0.0,4.2,0.0,0.0
OTSEGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUTNAM,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RENSSELAER,4.4,0.0,0.0,1.2,0.0,1.9,0.0,0.0
ROCKLAND,13.5,0.0,0.0,1.2,0.0,0.3,0.0,0.0
ST. LAWRENCE,1.8,0.9,0.0,0.0,0.0,0.0,0.9,0.0
SARATOGA,1.3,0.0,0.4,0.4,0.0,0.4,0.0,0.0
SCHENECTADY,7.8,0.0,0.6,1.3,0.0,1.3,0.0,0.0
SCHOHARIE,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHUYLER,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENECA,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEUBEN,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUFFOLK,9.3,0.0,0.0,2.3,0.6,0.9,0.0,0.1
SULLIVAN,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
TIOGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMPKINS,2.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0
ULSTER,7.2,0.0,0.0,0.6,0.0,0.6,0.0,0.0
WARREN,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
WASHINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAYNE,9.8,0.0,0.0,1.1,0.0,0.0,0.0,0.0
WESTCHESTER,12.6,0.0,0.2,2.9,0.4,0.5,0.0,0.0
WYOMING,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YATES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",WEST NILE,YELLOW,,
"",VIRUS,FEVER,YERSINIOSIS,ZIKA VIRUS
ALBANY,0.0,0.0,0.0,1.6
ALLEGANY,0.0,0.0,0.0,0.0
BROOME,0.0,0.0,0.0,2.0
CATTARAUGUS,0.0,0.0,0.0,0.0
CAYUGA,0.0,0.0,0.0,0.0
CHAUTAUQUA,0.0,0.0,0.0,0.0
CHEMUNG,0.0,1.1,0.0,0.0
CHENANGO,0.0,0.0,0.0,0.0
CLINTON,0.0,0.0,0.0,2.5
COLUMBIA,0.0,0.0,1.6,4.9
CORTLAND,0.0,0.0,0.0,2.1
DELAWARE,0.0,0.0,0.0,4.3
DUTCHESS,0.3,0.0,1.0,3.7
ERIE,0.0,0.0,0.7,0.4
ESSEX,0.0,0.0,0.0,2.6
FRANKLIN,0.0,0.0,0.0,0.0
FULTON,0.0,0.0,0.0,0.0
GENESEE,0.0,0.0,1.7,0.0
GREENE,0.0,0.0,0.0,0.0
HAMILTON,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,0.0,0.0
JEFFERSON,0.0,0.0,5.1,1.7
LEWIS,0.0,0.0,0.0,3.7
LIVINGSTON,0.0,0.0,0.0,0.0
MADISON,0.0,0.0,0.0,0.0
MONROE,0.1,0.0,0.4,3.2
MONTGOMERY,0.0,0.0,2.0,4.0
NASSAU,0.4,0.0,0.2,4.3
NIAGARA,0.0,0.0,0.0,0.9
ONEIDA,0.0,0.0,0.0,1.7
ONONDAGA,0.0,0.0,0.4,2.3
ONTARIO,0.0,0.0,3.7,2.7
ORANGE,0.0,0.0,0.0,2.9
ORLEANS,0.0,0.0,0.0,0.0
OSWEGO,0.8,0.0,1.7,0.0
OTSEGO,0.0,0.0,0.0,3.3
PUTNAM,0.0,0.0,0.0,2.0
RENSSELAER,0.0,0.0,0.0,0.6
ROCKLAND,0.0,0.0,0.6,5.5
ST. LAWRENCE,0.0,0.0,0.9,0.9
SARATOGA,0.0,0.0,0.4,0.9
SCHENECTADY,0.6,0.0,0.6,1.3
SCHOHARIE,0.0,0.0,0.0,0.0
SCHUYLER,0.0,0.0,0.0,0.0
SENECA,0.0,0.0,0.0,0.0
STEUBEN,0.0,0.0,1.0,1.0
SUFFOLK,0.3,0.0,0.3,4.4
SULLIVAN,0.0,0.0,0.0,0.0
TIOGA,0.0,0.0,0.0,0.0
TOMPKINS,0.0,0.0,0.0,2.9
ULSTER,0.0,0.0,0.6,0.0
WARREN,0.0,0.0,1.5,0.0
WASHINGTON,0.0,0.0,3.2,1.6
WAYNE,0.0,0.0,0.0,2.2
WESTCHESTER,0.0,0.0,0.5,3.8
WYOMING,0.0,0.0,2.4,0.0
YATES,0.0,0.0,0.0,0.0
